run_id,scored_at,churn_probability,risk_level,Tenure,SatisfactionScore,Complain
run_20260625_112527,2026-06-25 11:25:27.354880+00:00,0.0068224845,LOW,15.0,3,0
run_20260625_112527,2026-06-25 11:25:27.354880+00:00,0.01705246,LOW,7.0,1,0
run_20260625_112527,2026-06-25 11:25:27.354880+00:00,0.0013340558,LOW,27.0,1,0
run_20260625_112527,2026-06-25 11:25:27.354880+00:00,0.14716104,LOW,20.0,3,0
run_20260625_112527,2026-06-25 11:25:27.354880+00:00,0.006062548,LOW,30.0,4,0
run_20260625_112527,2026-06-25 11:25:27.354880+00:00,0.04719294,LOW,7.0,2,0
run_20260625_112527,2026-06-25 11:25:27.354880+00:00,0.5757859,MEDIUM,1.0,5,0
run_20260625_112527,2026-06-25 11:25:27.354880+00:00,0.9254859,HIGH,1.0,5,0
run_20260625_112527,2026-06-25 11:25:27.354880+00:00,0.01770481,LOW,11.0,3,0
run_20260625_112527,2026-06-25 11:25:27.354880+00:00,0.0140447235,LOW,17.0,1,1
run_20260625_112527,2026-06-25 11:25:27.354880+00:00,0.12300612,LOW,6.0,3,0
run_20260625_112527,2026-06-25 11:25:27.354880+00:00,0.031796813,LOW,16.0,5,0
run_20260625_112527,2026-06-25 11:25:27.354880+00:00,0.9467159,HIGH,1.0,3,0
run_20260625_112527,2026-06-25 11:25:27.354880+00:00,0.99404234,HIGH,1.0,3,0
run_20260625_112527,2026-06-25 11:25:27.354880+00:00,0.018144274,LOW,6.0,5,0
run_20260625_112527,2026-06-25 11:25:27.354880+00:00,0.034323853,LOW,10.0,3,0
run_20260625_112527,2026-06-25 11:25:27.354880+00:00,0.06206829,LOW,,1,1
run_20260625_112527,2026-06-25 11:25:27.354880+00:00,0.93568397,HIGH,8.0,2,0
run_20260625_112527,2026-06-25 11:25:27.354880+00:00,0.015032615,LOW,19.0,1,1
run_20260625_112527,2026-06-25 11:25:27.354880+00:00,0.98801696,HIGH,0.0,4,0
run_20260625_112527,2026-06-25 11:25:27.354880+00:00,0.99421716,HIGH,1.0,5,0
run_20260625_112527,2026-06-25 11:25:27.354880+00:00,0.12984073,LOW,3.0,3,0
run_20260625_112527,2026-06-25 11:25:27.354880+00:00,0.0050423606,LOW,30.0,5,1
run_20260625_112527,2026-06-25 11:25:27.354880+00:00,0.23658219,LOW,5.0,1,0
run_20260625_112527,2026-06-25 11:25:27.354880+00:00,0.021888888,LOW,9.0,4,0
run_20260625_112527,2026-06-25 11:25:27.354880+00:00,0.10273049,LOW,18.0,3,0
run_20260625_112527,2026-06-25 11:25:27.354880+00:00,0.2334218,LOW,16.0,3,0
run_20260625_112527,2026-06-25 11:25:27.354880+00:00,0.9894099,HIGH,0.0,3,1
run_20260625_112527,2026-06-25 11:25:27.354880+00:00,0.9660591,HIGH,7.0,5,0
run_20260625_112527,2026-06-25 11:25:27.354880+00:00,0.98067874,HIGH,1.0,5,0
